"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"86","131.905438453591","110.0140175548513","4.890544444911012","-0.3080179544636208","0.012199999999999989","0.013599999999999945","0.0108","1400","0.0005007114757816484","0","0.0005007114757816484","0.0005007114757816484","86_85:0.006477755056194634","86_85:660","true"
"87","239.15966187536483","145.1555486808183","5.007276243159908","-0.30727417970034343","0.05509999999999993","0.0524","0.05779999999999996","1400","0.00022630746884052074","0","0.00022630746884052074","0.00022630746884052074","87_93:0.011662455738600142;87_86:0.009856125860683046","87_93:660;87_86:660","true"
"88","143.58833250966978","78.22602992997915","5.124709114378139","-0.30513956652283136","0.0045999999999999375","0.0050000000000000044","0.0042","1400","0.0003126710932700175","0","0.0003126710932700175","0.0003126710932700175","88_87:0.007527411080941571","88_87:660","true"
"89","279.58205639188276","198.0309831751139","4.952150159196378","-0.3076426637404077","0.005700000000000038","0.006000000000000005","0.0054","1400","0.00013941624585776227","0","0.00013941624585776227","0.00013941624585776227","89_88:0.008402218081865892;89_74:0.00745247038674382","89_88:660;89_74:660","true"
"90","265.03645618733094","34.85575283708979","4.810719571582827","-0.3082391225919807","0.121","0.11760000000000004","0.1244","1400","0.0131440825567305","0","0.0131440825567305","0.0131440825567305","","","true"
"91","235.06217293393686","147.29914966634993","4.9472833794533","-0.3079668340325644","0.05030000000000001","0.050799999999999956","0.0498","1400","0.0008316676132439165","0","0.0008316676132439165","0.0008316676132439165","","","true"
"92","286.38485046262","31.806225513757834","4.950731677655412","-0.3070505548632392","0.01200000000000001","0.0116","0.012399999999999967","1400","0.0008995885829431289","0","0.0008995885829431289","0.0008995885829431289","","","true"
"93","221.55894394845103","63.75310249664219","4.967059719576801","-0.3069267410791827","0.07600000000000007","0.0676","0.08440000000000003","1400","0.00035729117503387165","0","0.00035729117503387165","0.00035729117503387165","93_106:0.010370029289006016","93_106:660","true"
"94","75.27367560623412","83.02230444094397","5.177798890115575","-0.30317123921316275","0.020000000000000018","0.0188","0.021199999999999997","1400","0.0012778667244963942","0","0.0012778667244963942","0.0012778667244963942","94_95:0.03514120012227645;94_90:1","94_95:660;94_90:660","true"
"95","177.91804808444238","38.46696367426478","4.939292757829981","-0.30789649260055885","0.009199999999999986","0.012","0.006399999999999961","1400","0.0007007466465553825","0","0.0007007466465553825","0.0007007466465553825","","","true"
"96","165.97675003282177","130.60803652493146","5.1631266985441","-0.3039062877211832","0.015800000000000036","0.013","0.01859999999999995","1400","0.00020557558500771393","0","0.00020557558500771393","0.00020557558500771393","96_109:0.00799734433621968;96_97:0.00605054483175424;96_95:0.006438955459940221","96_109:660;96_97:660;96_95:660","true"
"97","216.38697762353547","116.89739361846435","5.215875408785415","-0.30421641368155056","0.026000000000000023","0.014599999999999946","0.0374","1400","0.0004529769782986476","0","0.0004529769782986476","0.0004529769782986476","97_98:0.012283154957359321","97_98:660","true"
"98","82.27451106542217","11.666871525290638","5.092230626350061","-0.30617426439129974","0.04360000000000008","0.029200000000000004","0.058","1400","0.0006789860672836042","0","0.0006789860672836042","0.0006789860672836042","98_91:0.023274405835784856;98_99:0.017497874856920725","98_91:660;98_99:660","true"
"99","286.71642869578886","188.0511297286657","4.799695037662477","-0.30908053958968884","0.011900000000000022","0.014599999999999946","0.0092","1400","0.00032998083012789043","0","0.00032998083012789043","0.00032998083012789043","99_100:0.00419727770234421","99_100:660","true"
"100","222.0363898981301","210.38255057748893","4.980601489518434","-0.30685520394794025","0.009600000000000053","0.009399999999999964","0.0098","1400","0.00018851410497442692","0","0.00018851410497442692","0.00018851410497442692","","","true"
"101","207.63343913047103","28.251031636095192","5.0764458399140056","-0.3060225505408127","0.05059999999999998","0.044","0.05720000000000003","1400","0.0010672021827059972","0","0.0010672021827059972","0.0010672021827059972","101_102:0.01741922339825963;101_100:0.013772459133631842","101_102:660;101_100:660","true"
"102","274.1209788799112","185.0209181102803","5.017858665769029","-0.30683206754544634","0.010199999999999987","0.0092","0.011199999999999988","1400","0.0002819590282274293","0","0.0002819590282274293","0.0002819590282274293","102_92:0.018280574544192768;102_103:0.007704984240470447","102_92:660;102_103:660","true"
"103","259.8005529922874","132.49263339350017","5.069659716323049","-0.3052611530688868","0.0131","0.01419999999999999","0.012","1400","0.0004231402809549248","0","0.0004231402809549248","0.0004231402809549248","","","true"
"104","190.10283629101625","24.03321419214847","5.199953303802735","-0.3043698687555029","0.056499999999999995","0.05159999999999998","0.0614","1400","0.00022499670272661338","0","0.00022499670272661338","0.00022499670272661338","104_111:0.0085944597932949;104_103:0.010779721812209847","104_111:660;104_103:660","true"
"105","188.0832229089094","32.25021823812087","5.235259832311684","-0.3033042591710311","0.0636000000000001","0.041","0.08620000000000005","1400","0.00031546595055119685","0","0.00031546595055119685","0.00031546595055119685","105_106:0.006331436585133965;105_104:0.0074602543823673595","105_106:660;105_104:660","true"
"106","298.09551875103085","125.81275875675216","5.130451083912992","-0.30568789344931974","0.007500000000000062","0.009600000000000053","0.0054","1400","0.00027741416574927544","0","0.00027741416574927544","0.00027741416574927544","106_107:1","106_107:660","true"
"107","189.00916472176553","166.17351090295708","5.020643667990616","0","0.04833333333333334","0.08333333333333337","0.013333333333333334","1400","0.031759702638314305","0","0.031759702638314305","0.031759702638314305","107_108:1","107_108:660","true"
"108","43.35068137896031","81.67885449934053","4.969985300455225","-0.3067164534374004","0.17999999999999994","0.31666666666666665","0.043333333333333335","1400","0.002190059560986344","0","0.002190059560986344","0.002190059560986344","","","true"
"109","167.7368847150863","30.851322786489245","5.08404272358148","-0.3050042743127497","0.009000000000000008","0.010600000000000054","0.0074","1400","0.0006201172258968612","0","0.0006201172258968612","0.0006201172258968612","109_114:0.006995288306950204","109_114:660","true"
"110","192.8978710291199","227.5536274691422","5.034979421408017","-0.3061872602377423","0.011900000000000022","0.0112","0.012599999999999945","1400","0.00017627864677342934","0","0.00017627864677342934","0.00017627864677342934","110_100:0.005064699475228779","110_100:660","true"
