"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"72","299.13611016767464","12.765303084858086","4.828025385723376","-0.30825371875747126","0.02180000000000004","0.0234","0.020199999999999996","1400","0.0004102999676596277","0","0.0004102999676596277","0.0004102999676596277","","","true"
"73","220.9420602507745","135.51453785609257","4.874048614045299","-0.3077336334044076","0.007000000000000006","0.007600000000000051","0.0064","1400","0.0002429415792188966","0","0.0002429415792188966","0.0002429415792188966","","","true"
"74","321.4866147247112","207.68225606631137","4.717498475657059","-0.30924481406023596","0.03770000000000007","0.04800000000000004","0.0274","1400","0.00014800734442559023","0","0.00014800734442559023","0.00014800734442559023","74_70:0.004813525011300723","74_70:660","true"
"75","241.14503416009518","112.40557245093505","4.9150855121817205","-0.3067429768189127","0.026599999999999957","0.02300000000000002","0.0302","1400","0.0002630449960597103","0","0.0002630449960597103","0.0002630449960597103","75_76:0.004409198578820689","75_76:660","true"
"76","220.7908243029454","226.10314746789425","4.861177992302127","-0.30806771434897606","0.015499999999999958","0.0196","0.011399999999999966","1400","0.00035100409540439535","0","0.00035100409540439535","0.00035100409540439535","76_77:0.0027830277897483158","76_77:660","true"
"77","572.8865686391988","265.73325775214096","4.720501393962472","-0.3106297524124092","0.1906","0.16859999999999997","0.2126","1400","0.00009320865362870267","0","0.00009320865362870267","0.00009320865362870267","","","true"
"78","334.9408626977926","305.76948206174126","5.007267390812615","-0.3075239620356322","0.4931","0.2966","0.6896","1400","0.0001995825634600287","0","0.0001995825634600287","0.0001995825634600287","78_79:1;78_77:1","78_79:660;78_77:660","true"
"79","411.35538251475583","410.8731894808043","4.786357483940747","-0.3096601397456687","0.02410000000000001","0.02059999999999995","0.0276","1400","0.00012652494044633724","0","0.00012652494044633724","0.00012652494044633724","79_80:0.007097764126285627","79_80:660","true"
"80","192.91054034129976","53.72141553699459","4.850849102682172","-0.3079830471645371","0.0857","0.08440000000000003","0.087","1400","0.0002882306857146711","0","0.0002882306857146711","0.0002882306857146711","","","true"
"81","324.1780664931718","19.186613234162216","5.002123796900528","-0.28152033709593866","0.1451","0.15139999999999998","0.1388","1400","0.0013186848735435009","0","0.0013186848735435009","0.0013186848735435009","81_82:0.017689462845566856;81_72:0.020886590925077386;81_80:0.01818760386310536","81_82:660;81_72:660;81_80:660","true"
"82","279.9470134125847","13.77316311969784","4.902333349058956","-0.3073208151268094","0.012799999999999923","0.021599999999999953","0.004","1400","0.00034414256221674487","0","0.00034414256221674487","0.00034414256221674487","","","true"
"83","272.5741710594843","124.55188984697124","5.0312164799881725","-0.3063243777084493","0.007099999999999995","0.007399999999999962","0.0068","1400","0.0002521367206365009","0","0.0002521367206365009","0.0002521367206365009","83_82:0.00990709269069398","83_82:660","true"
